cons_id,party_id,party_list_vote,party_list_vote_percent,mp_app_rank,mp_app_vote,mp_app_vote_percent
ACR_2,767,47,0.04203,0,0,0.0
ACR_2,768,34,0.03041,0,0,0.0
ACR_2,769,213,0.1905,9,378,0.33806
ACR_2,770,24,0.02146,12,173,0.15472
ACR_2,771,151,0.13505,0,0,0.0
ACR_2,773,649,0.58043,0,0,0.0
ACR_2,774,141,0.1261,0,0,0.0
ACR_2,775,50,0.04472,0,0,0.0
ACR_2,776,219,0.19586,0,0,0.0
ACR_2,777,90,0.08049,0,0,0.0
ACR_2,778,896,0.80134,0,0,0.0
ACR_2,779,130,0.11627,0,0,0.0
ACR_2,780,142,0.127,0,0,0.0
ACR_2,781,1036,0.92655,0,0,0.0
ACR_2,783,13,0.01163,0,0,0.0
ACR_2,784,287,0.25668,0,0,0.0
ACR_2,786,99,0.08854,0,0,0.0
ATG_1,701,747,0.83226,6,481,0.5359
ATG_1,702,73,0.08133,0,0,0.0
ATG_1,703,13,0.01448,0,0,0.0
ATG_1,705,26853,29.91778,2,20828,23.20513
ATG_1,706,135,0.15041,0,0,0.0
ATG_1,707,276,0.3075,0,0,0.0
ATG_1,708,115,0.12813,0,0,0.0
ATG_1,709,4949,5.51384,1,44725,49.82954
ATG_1,710,11,0.01226,0,0,0.0
ATG_1,712,171,0.19052,0,0,0.0
ATG_1,714,67,0.07465,0,0,0.0
ATG_1,715,9,0.01003,0,0,0.0
ATG_1,717,9,0.01003,0,0,0.0
ATG_1,718,31,0.03454,0,0,0.0
ATG_1,719,896,0.99826,8,254,0.28299
ATG_1,721,167,0.18606,0,0,0.0
ATG_1,722,9,0.01003,0,0,0.0
ATG_1,723,7,0.0078,0,0,0.0
ATG_1,724,25,0.02785,0,0,0.0
ATG_1,725,15,0.01671,0,0,0.0
ATG_1,726,35065,39.06703,3,15591,17.37043
ATG_1,727,183,0.20389,0,0,0.0
ATG_1,728,9,0.01003,0,0,0.0
ATG_1,729,12,0.01337,0,0,0.0
ATG_1,731,97,0.10807,0,0,0.0
ATG_1,732,79,0.08802,0,0,0.0
ATG_1,733,97,0.10807,0,0,0.0
ATG_1,734,41,0.04568,0,0,0.0
ATG_1,736,171,0.19052,0,0,0.0
ATG_1,737,9,0.01003,0,0,0.0
ATG_1,738,367,0.40889,0,0,0.0
ATG_1,739,6,0.00668,0,0,0.0
ATG_1,740,117,0.13035,0,0,0.0
ATG_1,741,14,0.0156,0,0,0.0
ATG_1,742,14,0.0156,0,0,0.0
ATG_1,743,519,0.57823,5,617,0.68742
ATG_1,745,10,0.01114,0,0,0.0
ATG_1,747,92,0.1025,0,0,0.0
ATG_1,748,126,0.14038,0,0,0.0
ATG_1,749,47,0.05236,0,0,0.0
ATG_1,750,33,0.03677,0,0,0.0
ATG_1,751,13,0.01448,0,0,0.0
ATG_1,752,83,0.09247,0,0,0.0
ATG_1,755,24,0.02674,0,0,0.0
ATG_1,758,176,0.19609,0,0,0.0
ATG_1,761,95,0.10584,0,0,0.0
ATG_1,762,275,0.30639,0,0,0.0
ATG_1,763,9139,10.18205,4,1599,1.7815
ATG_1,764,36,0.04011,0,0,0.0
ATG_1,765,33,0.03677,0,0,0.0
ATG_1,767,19,0.02117,0,0,0.0
ATG_1,768,22,0.02451,0,0,0.0
ATG_1,769,298,0.33201,7,359,0.39997
ATG_1,770,8,0.00891,0,0,0.0
ATG_1,771,72,0.08022,0,0,0.0
ATG_1,773,107,0.11921,0,0,0.0
ATG_1,774,6,0.00668,0,0,0.0
ATG_1,775,14,0.0156,0,0,0.0
ATG_1,776,191,0.2128,0,0,0.0
ATG_1,777,41,0.04568,0,0,0.0
ATG_1,778,449,0.50025,0,0,0.0
ATG_1,779,1605,1.78818,0,0,0.0
ATG_1,780,81,0.09024,0,0,0.0
ATG_1,781,119,0.13258,0,0,0.0
ATG_1,783,6,0.00668,0,0,0.0
ATG_1,784,178,0.19832,0,0,0.0
ATG_1,786,143,0.15932,0,0,0.0
ATG_2,701,559,0.61116,6,648,0.70846
ATG_2,702,176,0.19242,0,0,0.0
ATG_2,703,16,0.01749,0,0,0.0
ATG_2,705,31317,34.23895,2,21459,23.46118
ATG_2,706,122,0.13338,0,0,0.0
ATG_2,707,331,0.36188,0,0,0.0
ATG_2,708,113,0.12354,0,0,0.0
ATG_2,709,4371,4.77882,1,47232,51.63886
ATG_2,710,17,0.01859,0,0,0.0
ATG_2,712,204,0.22303,0,0,0.0
ATG_2,714,182,0.19898,0,0,0.0
ATG_2,715,28,0.03061,0,0,0.0
ATG_2,717,18,0.01968,0,0,0.0
ATG_2,718,37,0.04045,0,0,0.0
ATG_2,719,613,0.67019,8,206,0.22522
ATG_2,721,264,0.28863,0,0,0.0
ATG_2,722,10,0.01093,0,0,0.0
ATG_2,723,10,0.01093,0,0,0.0
ATG_2,724,18,0.01968,0,0,0.0
ATG_2,725,30,0.0328,0,0,0.0
ATG_2,726,29547,32.30381,3,11206,12.25155
ATG_2,727,205,0.22413,0,0,0.0
ATG_2,728,32,0.03499,0,0,0.0
ATG_2,729,22,0.02405,0,0,0.0
ATG_2,731,71,0.07762,0,0,0.0
ATG_2,732,55,0.06013,0,0,0.0
ATG_2,733,174,0.19023,9,171,0.18695
ATG_2,734,66,0.07216,0,0,0.0
ATG_2,736,224,0.2449,0,0,0.0
ATG_2,737,11,0.01203,0,0,0.0
ATG_2,738,488,0.53353,0,0,0.0
ATG_2,739,11,0.01203,0,0,0.0
ATG_2,740,490,0.53572,0,0,0.0
ATG_2,741,21,0.02296,0,0,0.0
ATG_2,742,11,0.01203,0,0,0.0
ATG_2,743,556,0.60788,5,788,0.86152
ATG_2,745,52,0.05685,0,0,0.0
ATG_2,747,98,0.10714,0,0,0.0
ATG_2,748,148,0.16181,0,0,0.0
ATG_2,749,62,0.06778,0,0,0.0
ATG_2,750,56,0.06122,0,0,0.0
ATG_2,751,13,0.01421,0,0,0.0
ATG_2,752,212,0.23178,0,0,0.0
ATG_2,755,46,0.05029,0,0,0.0
ATG_2,758,196,0.21429,0,0,0.0
ATG_2,761,147,0.16072,0,0,0.0
ATG_2,762,218,0.23834,0,0,0.0
ATG_2,763,7076,7.73621,4,1270,1.38849
ATG_2,764,68,0.07434,0,0,0.0
ATG_2,765,22,0.02405,0,0,0.0
ATG_2,767,29,0.03171,0,0,0.0
ATG_2,768,23,0.02515,0,0,0.0
ATG_2,769,198,0.21647,7,288,0.31487
ATG_2,770,16,0.01749,0,0,0.0
ATG_2,771,102,0.11152,0,0,0.0
ATG_2,773,210,0.22959,0,0,0.0
ATG_2,774,12,0.01312,0,0,0.0
ATG_2,775,16,0.01749,0,0,0.0
ATG_2,776,973,1.06378,0,0,0.0
ATG_2,777,69,0.07544,0,0,0.0
ATG_2,778,257,0.28098,0,0,0.0
ATG_2,779,2135,2.3342,0,0,0.0
ATG_2,780,86,0.09402,0,0,0.0
ATG_2,781,176,0.19242,0,0,0.0
ATG_2,783,6,0.00656,0,0,0.0
ATG_2,784,183,0.20007,0,0,0.0
ATG_2,786,187,0.20445,0,0,0.0
AYA_1,701,1019,0.9237,6,1014,0.91917
AYA_1,702,68,0.06164,0,0,0.0
AYA_1,703,13,0.01178,0,0,0.0
AYA_1,705,23913,21.67662,3,15289,13.85915
AYA_1,706,362,0.32815,0,0,0.0
AYA_1,707,230,0.20849,0,0,0.0
AYA_1,708,110,0.09971,0,0,0.0
AYA_1,709,4233,3.83712,2,35676,32.33953
AYA_1,710,13,0.01178,0,0,0.0
AYA_1,712,362,0.32815,0,0,0.0
AYA_1,714,100,0.09065,0,0,0.0
AYA_1,715,16,0.0145,0,0,0.0
AYA_1,717,9,0.00816,0,0,0.0
AYA_1,718,39,0.03535,0,0,0.0
AYA_1,719,1267,1.14851,7,751,0.68077
AYA_1,721,140,0.12691,0,0,0.0
AYA_1,722,18,0.01632,0,0,0.0
AYA_1,723,4,0.00363,0,0,0.0
AYA_1,724,34,0.03082,0,0,0.0
AYA_1,725,9,0.00816,0,0,0.0
AYA_1,726,49110,44.51716,1,41081,37.23905
AYA_1,727,119,0.10787,0,0,0.0
AYA_1,728,11,0.00997,0,0,0.0
AYA_1,729,31,0.0281,0,0,0.0
AYA_1,731,154,0.1396,0,0,0.0
AYA_1,732,46,0.0417,0,0,0.0
AYA_1,733,117,0.10606,0,0,0.0
AYA_1,734,41,0.03717,0,0,0.0
AYA_1,736,150,0.13597,0,0,0.0
AYA_1,737,5,0.00453,0,0,0.0
AYA_1,738,332,0.30095,10,98,0.08883
AYA_1,739,19,0.01722,0,0,0.0
AYA_1,740,209,0.18945,0,0,0.0
AYA_1,741,29,0.02629,0,0,0.0
AYA_1,742,16,0.0145,0,0,0.0
AYA_1,743,709,0.64269,5,1250,1.1331
AYA_1,745,3,0.00272,0,0,0.0
AYA_1,747,83,0.07524,0,0,0.0
AYA_1,748,131,0.11875,0,0,0.0
AYA_1,749,56,0.05076,0,0,0.0
AYA_1,750,44,0.03989,0,0,0.0
AYA_1,751,18,0.01632,0,0,0.0
AYA_1,752,45,0.04079,0,0,0.0
AYA_1,755,22,0.01994,0,0,0.0
AYA_1,758,192,0.17404,0,0,0.0
AYA_1,761,422,0.38253,0,0,0.0
AYA_1,762,640,0.58015,8,621,0.56292
AYA_1,763,15488,14.03954,4,6677,6.05256
AYA_1,764,55,0.04986,0,0,0.0
AYA_1,765,31,0.0281,0,0,0.0
AYA_1,767,16,0.0145,0,0,0.0
AYA_1,768,28,0.02538,0,0,0.0
AYA_1,769,335,0.30367,9,364,0.32996
AYA_1,770,11,0.00997,0,0,0.0
AYA_1,771,68,0.06164,0,0,0.0
AYA_1,773,128,0.11603,0,0,0.0
AYA_1,774,6,0.00544,0,0,0.0
AYA_1,775,26,0.02357,0,0,0.0
AYA_1,776,84,0.07614,0,0,0.0
AYA_1,777,49,0.04442,0,0,0.0
AYA_1,778,262,0.2375,0,0,0.0
AYA_1,779,2343,2.12388,0,0,0.0
AYA_1,780,125,0.11331,0,0,0.0
AYA_1,781,162,0.14685,0,0,0.0
AYA_1,783,9,0.00816,0,0,0.0
AYA_1,784,203,0.18402,0,0,0.0
AYA_1,786,222,0.20124,0,0,0.0
AYA_2,701,962,0.89953,6,793,0.7415
AYA_2,702,128,0.11969,0,0,0.0
AYA_2,703,20,0.0187,0,0,0.0
AYA_2,705,30469,28.49035,4,14855,13.89032
AYA_2,706,160,0.14961,0,0,0.0
AYA_2,707,143,0.13371,0,0,0.0
AYA_2,708,132,0.12343,0,0,0.0
AYA_2,709,2557,2.39095,2,26804,25.06335
AYA_2,710,10,0.00935,0,0,0.0
AYA_2,712,321,0.30015,0,0,0.0
AYA_2,714,1639,1.53256,0,0,0.0
AYA_2,715,29,0.02712,0,0,0.0
AYA_2,717,9,0.00842,0,0,0.0
AYA_2,718,30,0.02805,0,0,0.0
AYA_2,719,1122,1.04914,9,276,0.25808
AYA_2,721,157,0.1468,0,0,0.0
AYA_2,722,17,0.0159,0,0,0.0
AYA_2,723,14,0.01309,0,0,0.0
AYA_2,724,23,0.02151,0,0,0.0
AYA_2,725,20,0.0187,0,0,0.0
AYA_2,726,43759,40.91729,1,27467,25.6833
AYA_2,727,383,0.35813,0,0,0.0
AYA_2,728,80,0.0748,0,0,0.0
AYA_2,729,18,0.01683,0,0,0.0
AYA_2,731,55,0.05143,0,0,0.0
AYA_2,732,21,0.01964,0,0,0.0
AYA_2,733,35,0.03273,0,0,0.0
AYA_2,734,177,0.16551,0,0,0.0
AYA_2,736,142,0.13278,0,0,0.0
AYA_2,737,18,0.01683,0,0,0.0
AYA_2,738,531,0.49652,0,0,0.0
AYA_2,739,39,0.03647,7,532,0.49745
AYA_2,740,74,0.06919,0,0,0.0
AYA_2,741,38,0.03553,0,0,0.0
AYA_2,742,8,0.00748,0,0,0.0
AYA_2,743,1588,1.48488,3,24683,23.08009
AYA_2,745,12,0.01122,0,0,0.0
AYA_2,747,246,0.23002,0,0,0.0
AYA_2,748,170,0.15896,0,0,0.0
AYA_2,749,56,0.05236,0,0,0.0
AYA_2,750,50,0.04675,0,0,0.0
AYA_2,751,15,0.01403,0,0,0.0
AYA_2,752,113,0.10566,0,0,0.0
AYA_2,755,31,0.02899,0,0,0.0
AYA_2,758,177,0.16551,0,0,0.0
AYA_2,761,377,0.35252,0,0,0.0
AYA_2,762,404,0.37776,0,0,0.0
AYA_2,763,10412,9.73585,5,4370,4.08621
AYA_2,764,73,0.06826,0,0,0.0
AYA_2,765,43,0.04021,0,0,0.0
AYA_2,767,25,0.02338,0,0,0.0
AYA_2,768,24,0.02244,0,0,0.0
AYA_2,769,211,0.1973,8,446,0.41704
AYA_2,770,12,0.01122,0,0,0.0
AYA_2,771,88,0.08229,10,0,0.0
AYA_2,773,149,0.13932,0,0,0.0
AYA_2,774,2,0.00187,0,0,0.0
AYA_2,775,24,0.02244,0,0,0.0
AYA_2,776,193,0.18047,0,0,0.0
AYA_2,777,63,0.05891,0,0,0.0
AYA_2,778,2085,1.9496,0,0,0.0
AYA_2,779,128,0.11969,0,0,0.0
AYA_2,780,126,0.11782,0,0,0.0
AYA_2,781,695,0.64987,0,0,0.0
AYA_2,783,4,0.00374,0,0,0.0
AYA_2,784,201,0.18795,0,0,0.0
AYA_2,786,169,0.15803,0,0,0.0
AYA_3,701,719,0.66637,8,433,0.4013
AYA_3,702,95,0.08805,0,0,0.0
AYA_3,703,11,0.01019,0,0,0.0
AYA_3,705,28872,26.75861,3,13061,12.10495
AYA_3,706,199,0.18443,0,0,0.0
AYA_3,707,139,0.12883,0,0,0.0
AYA_3,708,120,0.11122,0,0,0.0
AYA_3,709,3938,3.64974,1,47117,43.66809
AYA_3,710,18,0.01668,0,0,0.0
AYA_3,712,267,0.24746,0,0,0.0
AYA_3,714,203,0.18814,0,0,0.0
AYA_3,715,31,0.02873,0,0,0.0
AYA_3,717,5,0.00463,0,0,0.0
AYA_3,718,30,0.0278,0,0,0.0
AYA_3,719,1048,0.97129,7,646,0.59871
AYA_3,721,107,0.09917,0,0,0.0
AYA_3,722,8,0.00741,0,0,0.0
AYA_3,723,6,0.00556,0,0,0.0
AYA_3,724,20,0.01854,0,0,0.0
AYA_3,725,8,0.00741,0,0,0.0
AYA_3,726,50739,47.02497,2,34584,32.05249
AYA_3,727,134,0.12419,0,0,0.0
AYA_3,728,17,0.01576,0,0,0.0
AYA_3,729,18,0.01668,0,0,0.0
AYA_3,731,37,0.03429,0,0,0.0
AYA_3,732,34,0.03151,0,0,0.0
AYA_3,733,69,0.06395,0,0,0.0
AYA_3,734,105,0.09731,6,911,0.84432
AYA_3,736,147,0.13624,0,0,0.0
AYA_3,737,12,0.01112,0,0,0.0
AYA_3,738,397,0.36794,0,0,0.0
AYA_3,739,7,0.00649,0,0,0.0
AYA_3,740,85,0.07878,0,0,0.0
AYA_3,741,14,0.01298,0,0,0.0
AYA_3,742,12,0.01112,0,0,0.0
AYA_3,743,695,0.64413,5,2120,1.96482
AYA_3,745,6,0.00556,0,0,0.0
AYA_3,747,2356,2.18354,0,0,0.0
AYA_3,748,156,0.14458,0,0,0.0
AYA_3,749,43,0.03985,0,0,0.0
AYA_3,750,34,0.03151,0,0,0.0
AYA_3,751,12,0.01112,0,0,0.0
AYA_3,752,112,0.1038,0,0,0.0
AYA_3,755,27,0.02502,0,0,0.0
AYA_3,758,165,0.15292,0,0,0.0
AYA_3,761,133,0.12326,0,0,0.0
AYA_3,762,401,0.37165,9,290,0.26877
AYA_3,763,8683,8.04742,4,3374,3.12703
AYA_3,764,47,0.04356,0,0,0.0
AYA_3,765,40,0.03707,0,0,0.0
AYA_3,767,17,0.01576,0,0,0.0
AYA_3,768,33,0.03058,0,0,0.0
AYA_3,769,222,0.20575,10,137,0.12697
AYA_3,770,4,0.00371,0,0,0.0
AYA_3,771,116,0.10751,0,0,0.0
AYA_3,773,134,0.12419,0,0,0.0
AYA_3,774,13,0.01205,0,0,0.0
AYA_3,775,28,0.02595,0,0,0.0
AYA_3,776,170,0.15756,0,0,0.0
AYA_3,777,58,0.05375,0,0,0.0
AYA_3,778,237,0.21965,0,0,0.0
AYA_3,779,310,0.28731,0,0,0.0
AYA_3,780,112,0.1038,0,0,0.0
AYA_3,781,725,0.67193,0,0,0.0
AYA_3,783,9,0.00834,0,0,0.0
AYA_3,784,202,0.18721,0,0,0.0
AYA_3,786,190,0.17609,0,0,0.0
AYA_4,701,819,0.7187,7,355,0.31152
AYA_4,702,90,0.07898,0,0,0.0
AYA_4,703,24,0.02106,0,0,0.0
AYA_4,705,32381,28.41535,3,23229,20.38418
AYA_4,706,252,0.22114,0,0,0.0
AYA_4,707,144,0.12636,0,0,0.0
AYA_4,708,94,0.08249,0,0,0.0
AYA_4,709,4845,4.25164,1,50080,43.94679
AYA_4,710,15,0.01316,0,0,0.0
AYA_4,712,194,0.17024,0,0,0.0
AYA_4,714,837,0.73449,0,0,0.0
AYA_4,715,30,0.02633,0,0,0.0
AYA_4,717,11,0.00965,0,0,0.0
AYA_4,718,43,0.03773,0,0,0.0
AYA_4,719,1078,0.94598,5,418,0.36681
AYA_4,721,140,0.12285,0,0,0.0
AYA_4,722,15,0.01316,0,0,0.0
AYA_4,723,2,0.00176,0,0,0.0
AYA_4,724,22,0.01931,0,0,0.0
AYA_4,725,9,0.0079,0,0,0.0
AYA_4,726,51563,45.24817,2,31073,27.26754
AYA_4,727,377,0.33083,0,0,0.0
AYA_4,728,45,0.03949,0,0,0.0
AYA_4,729,23,0.02018,0,0,0.0
AYA_4,731,42,0.03686,0,0,0.0
AYA_4,732,35,0.03071,0,0,0.0
AYA_4,733,34,0.02984,0,0,0.0
AYA_4,734,36,0.03159,0,0,0.0
AYA_4,736,116,0.10179,0,0,0.0
AYA_4,737,9,0.0079,0,0,0.0
AYA_4,738,437,0.38348,9,261,0.22904
AYA_4,739,13,0.01141,0,0,0.0
AYA_4,740,88,0.07722,0,0,0.0
